;Tick;Base;sample_size_Open;mean_Open;std_Open;p1_Open;p5_Open;p10_Open;p25_Open;p50_Open;p75_Open;p90_Open;p95_Open;p99_Open;sample_size_High;mean_High;std_High;p1_High;p5_High;p10_High;p25_High;p50_High;p75_High;p90_High;p95_High;p99_High;sample_size_Low;mean_Low;std_Low;p1_Low;p5_Low;p10_Low;p25_Low;p50_Low;p75_Low;p90_Low;p95_Low;p99_Low;sample_size_Close;mean_Close;std_Close;p1_Close;p5_Close;p10_Close;p25_Close;p50_Close;p75_Close;p90_Close;p95_Close;p99_Close;sample_size_Volume;mean_Volume;std_Volume;p1_Volume;p5_Volume;p10_Volume;p25_Volume;p50_Volume;p75_Volume;p90_Volume;p95_Volume;p99_Volume;sample_size_N_trades;mean_N_trades;std_N_trades;p1_N_trades;p5_N_trades;p10_N_trades;p25_N_trades;p50_N_trades;p75_N_trades;p90_N_trades;p95_N_trades;p99_N_trades
AIONBTC;AION;BTC;2755.000000000000000;0.000005100794918;0.000000469265774;0.000004070000000;0.000004337000000;0.000004460000000;0.000004610000000;0.000005240000000;0.000005510000000;0.000005616000000;0.000005670000000;0.000005834600000;2755.000000000000000;0.000005125070780;0.000000478381824;0.000004100000000;0.000004347000000;0.000004480000000;0.000004620000000;0.000005270000000;0.000005540000000;0.000005650000000;0.000005710000000;0.000005884600000;2755.000000000000000;0.000005076072595;0.000000460351994;0.000004050000000;0.000004320000000;0.000004450000000;0.000004600000000;0.000005210000000;0.000005480000000;0.000005580000000;0.000005630000000;0.000005790000000;2755.000000000000000;0.000005099974592;0.000000469713856;0.000004070000000;0.000004330000000;0.000004460000000;0.000004610000000;0.000005240000000;0.000005505000000;0.000005616000000;0.000005670000000;0.000005840000000;2755.000000000000000;69452.999274047193467;152363.506964056869037;96.560000000000002;1738.099999999999909;3922.400000000000091;12166.500000000000000;36685.000000000000000;84984.500000000000000;161965.399999999965075;225595.399999999877764;420588.680000000167638;2755.000000000000000;68.054809437386567;109.375489584634039;1.000000000000000;5.000000000000000;8.000000000000000;20.000000000000000;44.000000000000000;87.000000000000000;146.000000000000000;201.000000000000000;353.980000000000473
AIONETH;AION;ETH;2755.000000000000000;0.000074874773140;0.000003677162400;0.000068000000000;0.000069000000000;0.000071000000000;0.000072000000000;0.000074000000000;0.000078000000000;0.000080000000000;0.000081000000000;0.000084000000000;2755.000000000000000;0.000075054083485;0.000003799271186;0.000068000000000;0.000069000000000;0.000071000000000;0.000072000000000;0.000074000000000;0.000078000000000;0.000080000000000;0.000081000000000;0.000085000000000;2755.000000000000000;0.000074646098004;0.000003542223688;0.000067000000000;0.000069000000000;0.000070000000000;0.000072000000000;0.000074000000000;0.000077000000000;0.000079000000000;0.000080000000000;0.000083000000000;2755.000000000000000;0.000074855172414;0.000003663882373;0.000068000000000;0.000069000000000;0.000071000000000;0.000072000000000;0.000074000000000;0.000078000000000;0.000080000000000;0.000081000000000;0.000084000000000;2755.000000000000000;20544.276711433754826;49967.903109330422012;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2608.559999999999945;20542.974999999998545;59498.739999999990687;98149.864999999932479;205639.014200000412529;2755.000000000000000;11.686751361161525;20.226832248374368;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;5.000000000000000;16.000000000000000;31.000000000000000;44.000000000000000;83.920000000000059
AMBBTC;AMB;BTC;2754.000000000000000;0.000000961151053;0.000000092104522;0.000000760000000;0.000000826500000;0.000000840000000;0.000000890000000;0.000000960000000;0.000001030000000;0.000001080000000;0.000001120000000;0.000001170000000;2754.000000000000000;0.000000966739288;0.000000092905803;0.000000770000000;0.000000830000000;0.000000840000000;0.000000890000000;0.000000970000000;0.000001030000000;0.000001080000000;0.000001120000000;0.000001180000000;2754.000000000000000;0.000000955403050;0.000000090951962;0.000000750000000;0.000000820000000;0.000000830000000;0.000000880000000;0.000000960000000;0.000001020000000;0.000001070000000;0.000001110000000;0.000001160000000;2754.000000000000000;0.000000961249092;0.000000092099499;0.000000760000000;0.000000820000000;0.000000840000000;0.000000890000000;0.000000960000000;0.000001030000000;0.000001080000000;0.000001110000000;0.000001170000000;2754.000000000000000;152551.473856209107907;352996.591034843120724;0.000000000000000;1304.049999999999955;3566.199999999999818;13143.750000000000000;48164.500000000000000;142754.000000000000000;371842.799999999988358;619237.749999999650754;1475584.539999990724027;2754.000000000000000;23.105301379811184;38.407985765829778;0.000000000000000;2.000000000000000;3.000000000000000;5.000000000000000;12.000000000000000;26.000000000000000;52.000000000000000;75.000000000000000;183.409999999999400
APPCBTC;APPC;BTC;2755.000000000000000;0.000002205782214;0.000000213227884;0.000001820000000;0.000001890000000;0.000001930000000;0.000001980000000;0.000002250000000;0.000002400000000;0.000002470000000;0.000002490000000;0.000002530000000;2755.000000000000000;0.000002213666062;0.000000214621071;0.000001820000000;0.000001900000000;0.000001940000000;0.000001990000000;0.000002250000000;0.000002400000000;0.000002480000000;0.000002500000000;0.000002550000000;2755.000000000000000;0.000002197938294;0.000000212167014;0.000001810000000;0.000001890000000;0.000001930000000;0.000001980000000;0.000002240000000;0.000002390000000;0.000002470000000;0.000002480000000;0.000002510000000;2755.000000000000000;0.000002205560799;0.000000213168993;0.000001815400000;0.000001890000000;0.000001930000000;0.000001980000000;0.000002250000000;0.000002400000000;0.000002470000000;0.000002490000000;0.000002520000000;2755.000000000000000;40684.850453720500809;242803.515256833285093;0.000000000000000;61.700000000000017;275.000000000000000;1651.000000000000000;7105.000000000000000;24670.000000000000000;62721.199999999997090;111640.699999999953434;453838.979999999981374;2755.000000000000000;18.928130671506352;42.355344811176657;0.000000000000000;1.000000000000000;1.000000000000000;4.000000000000000;8.000000000000000;18.000000000000000;42.000000000000000;64.000000000000000;176.920000000000073
ARDRBTC;ARDR;BTC;2755.000000000000000;0.000005371760436;0.000000785601498;0.000003830000000;0.000004230000000;0.000004280000000;0.000004450000000;0.000005790000000;0.000005990000000;0.000006170000000;0.000006283000000;0.000006420000000;2755.000000000000000;0.000005396914701;0.000000792690055;0.000003840000000;0.000004240000000;0.000004294000000;0.000004470000000;0.000005820000000;0.000006010000000;0.000006200000000;0.000006310000000;0.000006490000000;2755.000000000000000;0.000005347738657;0.000000781198208;0.000003810000000;0.000004210000000;0.000004270000000;0.000004440000000;0.000005760000000;0.000005960000000;0.000006140000000;0.000006260000000;0.000006380000000;2755.000000000000000;0.000005369891107;0.000000785874469;0.000003830000000;0.000004220000000;0.000004280000000;0.000004450000000;0.000005790000000;0.000005990000000;0.000006170000000;0.000006290000000;0.000006420000000;2755.000000000000000;37226.986206896552176;78452.022560270968825;98.540000000000006;858.100000000000023;1806.400000000000091;5211.500000000000000;14536.000000000000000;36993.500000000000000;85788.199999999938882;143950.899999999586726;335002.440000000293367;2755.000000000000000;47.128130671506362;78.035539788024352;1.000000000000000;4.000000000000000;6.000000000000000;13.000000000000000;26.000000000000000;55.000000000000000;102.000000000000000;146.000000000000000;324.840000000000146
ARKBTC;ARK;BTC;2755.000000000000000;0.000030546301270;0.000002798657068;0.000024566200000;0.000026807000000;0.000027170000000;0.000028110000000;0.000030950000000;0.000032210000000;0.000033760000000;0.000035441000000;0.000037883800000;2755.000000000000000;0.000030726257713;0.000002882249079;0.000024665400000;0.000026910000000;0.000027280000000;0.000028215000000;0.000031170000000;0.000032360000000;0.000033986000000;0.000035943000000;0.000038623400000;2755.000000000000000;0.000030384606171;0.000002741971329;0.000024460000000;0.000026680000000;0.000027080000000;0.000028005000000;0.000030720000000;0.000032070000000;0.000033570000000;0.000035103000000;0.000037299200000;2755.000000000000000;0.000030541150635;0.000002797362295;0.000024575400000;0.000026800000000;0.000027170000000;0.000028105000000;0.000030940000000;0.000032210000000;0.000033740000000;0.000035423000000;0.000037899200000;2755.000000000000000;23248.898729582571832;52209.448227224129369;160.319999999999993;1022.799999999999955;1865.200000000000045;4170.500000000000000;9723.000000000000000;22830.500000000000000;50257.800000000002910;79290.399999999863212;219237.020000000105938;2755.000000000000000;131.607259528130669;283.260811151546534;4.000000000000000;9.000000000000000;14.000000000000000;27.000000000000000;59.000000000000000;129.000000000000000;251.000000000000000;473.000000000000000;1281.680000000000291
ASTBTC;AST;BTC;2755.000000000000000;0.000004573891107;0.000000634045773;0.000003445400000;0.000003720000000;0.000003780000000;0.000003890000000;0.000004830000000;0.000005035000000;0.000005250000000;0.000005510000000;0.000006114600000;2755.000000000000000;0.000004600185118;0.000000647222968;0.000003465400000;0.000003740000000;0.000003790000000;0.000003900000000;0.000004850000000;0.000005060000000;0.000005290000000;0.000005563000000;0.000006254600000;2755.000000000000000;0.000004547883848;0.000000624287256;0.000003420000000;0.000003690000000;0.000003760000000;0.000003870000000;0.000004800000000;0.000005010000000;0.000005210000000;0.000005450000000;0.000006004600000;2755.000000000000000;0.000004573343013;0.000000634488322;0.000003435400000;0.000003720000000;0.000003780000000;0.000003890000000;0.000004830000000;0.000005030000000;0.000005250000000;0.000005520000000;0.000006110000000;2755.000000000000000;46483.083121597097488;165072.990168363030534;401.000000000000000;1601.700000000000045;2657.400000000000546;6302.500000000000000;14703.000000000000000;35533.500000000000000;86685.399999999979627;158181.399999999674037;535358.340000000200234;2755.000000000000000;62.092921960072594;176.610613978506507;2.000000000000000;6.000000000000000;8.000000000000000;15.000000000000000;27.000000000000000;53.000000000000000;115.000000000000000;192.199999999998880;515.720000000001164
ATABNB;ATA;BNB;1401.000000000000000;0.002464464546752;0.000611854895559;0.001699600000000;0.001764900000000;0.001867200000000;0.002104800000000;0.002347900000000;0.002617900000000;0.003070100000000;0.004173400000000;0.004599000000000;1401.000000000000000;0.002496206630978;0.000638656597609;0.001712100000000;0.001779000000000;0.001882700000000;0.002118300000000;0.002384800000000;0.002642000000000;0.003137000000000;0.004245000000000;0.004756900000000;1401.000000000000000;0.002435083754461;0.000586638117300;0.001683200000000;0.001744700000000;0.001843300000000;0.002091000000000;0.002322500000000;0.002599600000000;0.003025800000000;0.004088500000000;0.004412600000000;1401.000000000000000;0.002462683804425;0.000608107965464;0.001701000000000;0.001765500000000;0.001866600000000;0.002105800000000;0.002347900000000;0.002618000000000;0.003071300000000;0.004157300000000;0.004567900000000;1401.000000000000000;57515.982155603138381;110188.195916095253779;1201.000000000000000;2294.000000000000000;3487.000000000000000;7686.000000000000000;23713.000000000000000;67658.000000000000000;136187.000000000000000;201486.000000000000000;558995.000000000000000;1401.000000000000000;233.418272662383998;477.918311145991368;17.000000000000000;25.000000000000000;33.000000000000000;56.000000000000000;111.000000000000000;221.000000000000000;510.000000000000000;796.000000000000000;2191.000000000000000
ATABTC;ATA;BTC;1401.000000000000000;0.000023844975018;0.000007299533734;0.000015910000000;0.000016840000000;0.000017780000000;0.000019950000000;0.000022180000000;0.000024390000000;0.000032190000000;0.000044860000000;0.000050080000000;1401.000000000000000;0.000024157965739;0.000007578078932;0.000016100000000;0.000017000000000;0.000018020000000;0.000020070000000;0.000022410000000;0.000024750000000;0.000032740000000;0.000045540000000;0.000051490000000;1401.000000000000000;0.000023547087794;0.000007017342671;0.000015700000000;0.000016730000000;0.000017610000000;0.000019830000000;0.000021940000000;0.000024040000000;0.000031850000000;0.000044330000000;0.000048280000000;1401.000000000000000;0.000023821898644;0.000007254208483;0.000015900000000;0.000016860000000;0.000017790000000;0.000019950000000;0.000022130000000;0.000024390000000;0.000032150000000;0.000044750000000;0.000049910000000;1401.000000000000000;87717.386866523898789;163298.014333866041852;1488.000000000000000;3790.000000000000000;6507.000000000000000;16299.000000000000000;40317.000000000000000;94336.000000000000000;198985.000000000000000;313980.000000000000000;754038.000000000000000;1401.000000000000000;428.503211991434625;711.358558994232681;21.000000000000000;42.000000000000000;53.000000000000000;100.000000000000000;209.000000000000000;463.000000000000000;956.000000000000000;1506.000000000000000;3348.000000000000000
ATABUSD;;;1401.000000000000000;0.869970656673804;0.256261688911929;0.560960000000000;0.592210000000000;0.619080000000000;0.713630000000000;0.828880000000000;0.953990000000000;1.062990000000000;1.532000000000000;1.820170000000000;1401.000000000000000;0.882268872234119;0.266225358017235;0.565560000000000;0.599240000000000;0.626330000000000;0.719830000000000;0.838100000000000;0.961280000000000;1.084800000000000;1.554970000000000;1.876480000000000;1401.000000000000000;0.858311820128480;0.246172861816019;0.551780000000000;0.586680000000000;0.612760000000000;0.707760000000000;0.821230000000000;0.940000000000000;1.038460000000000;1.502040000000000;1.765150000000000;1401.000000000000000;0.869010806566738;0.254579135588400;0.560740000000000;0.591650000000000;0.618830000000000;0.713620000000000;0.829840000000000;0.952710000000000;1.058600000000000;1.525130000000000;1.808870000000000;1401.000000000000000;234790.630977872933727;491179.516716633748729;6056.000000000000000;14590.000000000000000;20138.000000000000000;35108.000000000000000;80082.000000000000000;221390.000000000000000;555684.000000000000000;940085.000000000000000;2476813.000000000000000;1401.000000000000000;934.628122769450442;2076.779833364228580;43.000000000000000;67.000000000000000;93.000000000000000;150.000000000000000;320.000000000000000;793.000000000000000;2078.000000000000000;3726.000000000000000;9474.000000000000000
